@CDE,LABEL,DESCRIPTION,SYNONYMS,UNIT,CATEGORY,SOURCE_FILE,FILE_DESCRIPTION,DSSAT_VERSION,SO,NAME,ALIAS
ETNOON,ET@noon mm/h,Evapotranspiration rate at noon (mm/h),.,mm/h,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
H2OA,H2O in root zn,Water available in root zone (mm),.,mm,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
IR#C,Irrigation #,Irrigation applications (no),.,no,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
IRRC,Irrig effect mm,Cumulative effective irrigation (mm),.,mm,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
IRRAC,Irrig apply mm,Cumulative applied irrigation (includes losses) (mm),.,includes losses,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
KCAA,Crop coef,FAO-56 single crop coefficient,.,,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
KCBA,Basal crop coef,FAO-56 basal crop coefficient,.,,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
KEAA,Evap coef,FAO-56 evaporation coefficient,.,,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
MCFD,Mulch coverage,Fraction of soil covered by mulch,.,,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
MDEPD,Mulch thick cm,Thickness of mulch layer (cm),.,cm,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
MWAD,Mulch mass k/h,Mass of mulch layer (kg/ha),.,kg/ha,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
MWTD,Mulch water mm,Water stored in mulch layer (mm),.,mm,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
PREC,Precipitation,Cumulative precipitation (mm),.,mm,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
REFA,Reference ET mm,ASCE standardized reference ET (grass or alfalfa),.,grass or alfalfa,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
ROFC,Cum Runoff mm,Cumulative runoff (mm),.,mm,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
ROFD,Surface runoff,Total daily surface runoff (mm/d),.,mm/d,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
ROSD,Sat surf runoff,Daily surface runoff due to sl saturation excess (mm/d),.,mm/d,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SEDM,Sediment LOSS,Sediment loss,.,,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SNOWD,Snow accum (mm),Snow accumulation (mm water),.,mm water,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SRAA,SRAD MJ/m2.day,Avg solar radiation (MJ/(m2.day)),.,MJ/(m2.day,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SW10,SWC layer 10,"Soil water, soil layer 10(cm3/cm3)",.,cm3/cm3,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SW1D,SWC layer 1,"Soil water, soil layer 1 (cm3/cm3)",.,cm3/cm3,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SW2D,SWC layer 2,"Soil water, soil layer 2 (cm3/cm3)",.,cm3/cm3,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SW3D,SWC layer 3,"Soil water, soil layer 3 (cm3/cm3)",.,cm3/cm3,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SW4D,SWC layer 4,"Soil water, soil layer 4 (cm3/cm3)",.,cm3/cm3,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SW5D,SWC layer 5,"Soil water, soil layer 5 (cm3/cm3)",.,cm3/cm3,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SW6D,SWC layer 6,"Soil water, soil layer 6 (cm3/cm3)",.,cm3/cm3,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SW7D,SWC layer 7,"Soil water, soil layer 7 (cm3/cm3)",.,cm3/cm3,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SW8D,SWC layer 8,"Soil water, soil layer 8 (cm3/cm3)",.,cm3/cm3,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SW9D,SWC layer 9,"Soil water, soil layer 9 (cm3/cm3)",.,cm3/cm3,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SWTD,Total water,Total soil water in profile (mm),.,mm,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SWXD,Extr water mm,Extractable water (mm),.,mm,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TCADD,Canopy-air temp,Canopy-air temperature difference (oC),.,oC,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TCnt,Cano.T midnight,Canopy temperature at midnight (oC),TCAN(h),oC,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TDFC,Cum. tile drain,Cumulative water lost to tile drain (mm),.,mm,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TDFD,Tile drainage,Water lost to tile drain (mm/d),.,mm/d,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TMINA,Minimum temp °C,Avg minimum air temperature (°C),TMNA,°C,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TMAXA,Maximum temp °C,Avg maximum air temperature (°C),TMXA,°C,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TSRNIT,Surf T midnight,Surface temperature midnight (°C),TSURF,°C,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TS0D,Surface temp °C,Soil surface temperature (°C),.,°C,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TS10,S-TMP layer 10,"Soil temperature, soil layer 10(°C)",.,°C,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TS1D,S-TMP layer 1,"Soil temperature, soil layer 1 (°C)",.,°C,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TS2D,S-TMP layer 2,"Soil temperature, soil layer 2 (°C)",.,°C,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TS3D,S-TMP layer 3,"Soil temperature, soil layer 3 (°C)",.,°C,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TS4D,S-TMP layer 4,"Soil temperature, soil layer 4 (°C)",.,°C,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TS5D,S-TMP layer 5,"Soil temperature, soil layer 5 (°C)",.,°C,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TS6D,S-TMP layer 6,"Soil temperature, soil layer 6 (°C)",.,°C,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TS7D,S-TMP layer 7,"Soil temperature, soil layer 7 (°C)",.,°C,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TS8D,S-TMP layer 8,"Soil temperature, soil layer 8 (°C)",.,°C,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TS9D,S-TMP layer 9,"Soil temperature, soil layer 9 (°C)",.,°C,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
WINNIT,Wind speed(noon),Wind speed at midnight (m/s),WINDHR,m/s,*WATER,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
CGRD,CGR g/m2.d,Crop growth rate (g [top+store]/(m2.d)),.,g [top+store]/(m2.d,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
CHAD,CH2O g/m2.d,Shoot carbohydrate accumulation (g [CH2O]/(m2.d)),.,g [CH2O]/(m2.d,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
CSHn,Lf conductance,Leaf conductance to water for sunlit leaves at noon m/s,CONDSH,,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
CSHt,Lf conductance,Leaf conductance to water for sunlit leaves midnight m/s,CONDSH,,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
CSLn,Lf conductance,Leaf conductance to water for shaded leaves at noon m/s,CONDSL,,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
CSLt,Lf conductance,Leaf conductance to water for shaded leaves midnight m/s,CONDSL,,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
CL%D,LEAF CH2O %,Carbohydrate in leaf (%),.,%,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
CMAD,CH2O MOB g/m2.d,Carbohydrate mobilization (g [CH2O]/(m2.d)),.,g [CH2O]/(m2.d,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
CS%D,STEM C %,Carbohydrate in stem (%),.,%,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
CR%D,Root CH2O %,Carbohydrate in root (%),.,%,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
Enit,Evap@midnt mm/h,Soil evaporation rate at midnight (mm/h),EHR,mm/h,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
ENN,Evap@noon mm/h,Soil evaporation rate at noon (mm/h),EHR,mm/h,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
ETnt,ET@midnite mm/h,Evapotranspiration rate at midnight (mm/h),.,mm/h,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
ETn,ET@noon mm/h,Evapotranspiration rate at noon (mm/h),.,mm/h,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
GMT,Mt S Ht Fx W/m2,Midnight surface Soil Heat Flux (W/m2),.,W/m2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
GN,Nn S Ht Fx W/m2,Noon surface Soil Heat Flux (W/m2),.,W/m2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
GC%D,GRAIN CH2O %,Seed carbohydrate concentration (%),.,%,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
GRAD,GR RESP g/m2.d,Growth respiration (g [CH2O]/(m2.d)),.,g [CH2O]/(m2.d,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
HUM1,SOIL C1 kg/ha,Soil carbon in layer 1 (kg/ha),.,kg/ha,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
HUM2,SOIL C2 kg/ha,Soil carbon in layer 2 (kg/ha),.,kg/ha,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
HUM3,SOIL C3 kg/ha,Soil carbon in layer 3 (kg/ha),.,kg/ha,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
HUM4,SOIL C4 kg/ha,Soil carbon in layer 4 (kg/ha),.,kg/ha,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
HUM5,SOIL C5 kg/ha,Soil carbon in layer 5 (kg/ha),.,kg/ha,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
LH1n,Nn Lt Ht 1 W/m2,Noon latent heat flux from sunlit leaves (W/m2),.,W/m2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
LH2n,Nn Lt Ht 2 W/m2,Noon latent heat flux from shaded leaves (W/m2),.,W/m2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
LH3n,Nn Lt Ht 3 W/m2,Noon latent heat flux from soil surface (W/m2),.,W/m2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
LH1t,Mt Lt Ht 1 W/m2,Midnight latent heat flux from sunlit leaves (W/m2),.,W/m2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
LH2t,Mt Lt Ht 2 W/m2,Midnight latent heat flux from shaded leaves (W/m2),.,W/m2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
LH3t,Mt Lt Ht 3 W/m2,Midnight latent heat flux from soil surface (W/m2),.,W/m2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
LHN,Nn Lt Ht (W/m2),Noon total latent heat flux (W/m2),.,W/m2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
LHT,MT Lt Ht (W/m2),Midnight total latent heat flux (W/m2),.,W/m2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
LI%D,LIGHT INTER %,Light (PAR) interception (%),.,PAR,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
LI%N,NOON LIGHT IN %,Noon light (PAR) interception (%),.,PAR,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
LMHN,"NOON PMAX,SHADE",Noon Pmax shaded leaves (mg/(m2.s)),.,mg/(m2.s,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
LMLN,"NOON PMAX,LIGHT",Noon Pmax sunlit leaves (mg/(m2.s)),.,mg/(m2.s,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
LSHn,LAI-shaded noon,Leaf area index of shaded leaves at noon (m2/m2),LAISH,m2/m2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
LSHt,LAIshaded night,Leaf area index of shaded leaves at midnight (m2/m2),LAISH,m2/m2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
LSLt,LAIsunlit night,Leaf area index of sunlit leaves at midnight (m2/m2),LAISL,m2/m2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
LSLn,LAI-sunlit noon,noon Leaf area index of sunlit leaves at noon,LAISL,,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
MRAD,M RESP g/m2.d,Maintenance resp (g [CH2O]/(m2.d)),.,g [CH2O]/(m2.d,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
N%HN,"NOON N,SHADE %",Noon N shaded leaves (%),.,%,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
N%LN,"NOON N,LIGHT %",Noon N sunlit leaves (%),.,%,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
NHU1,SOIL N1 kg/ha,Soil nitrogen in layer 1 (kg/ha),.,kg/ha,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
NHU2,SOIL N2 kg/ha,Soil nitrogen in layer 2 (kg/ha),.,kg/ha,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
NHU3,SOIL N3 kg/ha,Soil nitrogen in layer 3 (kg/ha),.,kg/ha,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
NHU4,SOIL N4 kg/ha,Soil nitrogen in layer 4 (kg/ha),.,kg/ha,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
NHU5,SOIL N5 kg/ha,Soil nitrogen in layer 5 (kg/ha),.,kg/ha,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
OMAC,OM APPL kg/ha,Cumulative organic matter applied (kg [dm]/ha),.,kg [dm]/ha,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
ONAC,ON APPL kg/ha,Cumulative N in applied organic matter (kg [N]/ha),.,kg [N]/ha,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
OPAC,OP APPL kg/ha,Cumulative P in applied organic matter (kg [P]/ha),.,kg [P]/ha,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
PHAD,P GROSS g/m2.d,Gross photosynthesis (g [CH2O]/(m2.d)),.,g [CH2O]/(m2.d,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
PHAN,"PG,NOON mg/m2.s","Gross photosyn.,noon (mg CO2/(m2.s))",.,mg CO2/(m2.s,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
QC%D,Storage CH2O %,Carbohydrate in stolon/rhizome/crown (%),.,%,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
QHAD,CH2O g/m2.d,Storage carbohydrate accumulation (g [CH2O]/(m2.d)),.,g [CH2O]/(m2.d,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
RSHN,Rshn s/m,Noon resistance of shaded leaves (s/m),.,s/m,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
RSHT,Rsht s/m,Midnight resistance of shaded leaves (s/m),.,s/m,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
RSLN,Rsln s/m,Noon resistance of sunlit leaves (s/m),.,s/m,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
RSLT,Rslt s/m,Midnight resistance of sunlit leaves (s/m),.,s/m,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
RSSN,Rssn s/m,Noon resistance of soil surface (s/m),.,s/m,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
RSST,Rsst s/m,Midnight resistance of soil surface (s/m),.,s/m,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SCDD,SOIL ORG C,Stable soil org. C @ user depth (kg/ha),.,kg/ha,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SHN,Noon Sn Ht W/m2,Noon total sensible heat (W/m2),.,W/m2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SHT,Mdnt Sn Ht W/m2,Midnight total sensible heat (W/m2),.,W/m2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SH1N,Nn Sn Ht 1 W/m2,Noon sensible heat from sunlit leaves (W/m2),.,W/m2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SH2N,Nn Sn Ht 2 W/m2,Noon sensisble heat from shaded leaves (W/m2),.,W/m2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SH3N,Nn Sn Ht 3 W/m2,Noon sensible heat from soil surface (W/m2),.,W/m2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SH1T,Mt Sn Ht 1 W/m2,Midnight sensible heat from sunlit leaves (W/m2),.,W/m2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SN2T,Mt Sn Ht 2 W/m2,Midnight sensible heat from shaded leaves (W/m2),.,W/m2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SN3T,Mt Sn Ht 3 W/m2,Midnight sensible heat from soil surface (W/m2),.,W/m2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SLHN,"NOON SLW,SHADE","SLW in shaded leaves,noon (mg [dm]/cm2)",.,mg [dm]/cm2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SLLN,"NOON SLW,Light","SLW in sunlit leaves,noon (mg [dm]/cm2)",.,mg [dm]/cm2,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SNDD,SOIL ORG N,Stable soil org. N @ user depth (kg/ha),.,kg/ha,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SOCD,Total OC kg/ha,Soil plus surface organic carbon (kg/ha),.,kg/ha,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SOND,SOIL ON kg/ha,Soil plus surface organic nitrogen (kg/ha),.,kg/ha,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SOPD,SOIL OP kg/ha,Soil plus surface organic phosphorus (kg/ha),.,kg/ha,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
SPDD,SOIL ORG P,Stable soil org. P @ user depth (kg/ha),.,kg/ha,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TCNN,Canopy T noon,Canopy temperature at noon (oC),.,oC,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TDNC,Cum tile N lost,Cumulative N lost to tile drain (kg[N]/ha/d),.,kg[N]/ha/d,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TDND,Tile N lost k/h,Daily N lost to tile drain (kg[N]/ha/d),.,kg[N]/ha/d,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TEMt,Temp/h midnight,Hourly air temperature at midnight,TAIRHR,,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TFOM,RESIDUE kg/ha,Plant residue remaining (kg [dm]/ha),.,kg [dm]/ha,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TFON,RESIDUE N kg/ha,Plant residue N remaining (kg/ha),.,kg/ha,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TGAV,AVG CAN TMP °C,Daily average canopy temp (°C),.,°C,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TGNN,NOON CAN TMP °C,Noon canopy temperature (°C),.,°C,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TGON,NOON GRO TMP °C,Noon growth temperature (°C),.,°C,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
Tnit,Temp midnight°C,Temperature midnight (°C),THR,°C,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TNN,T@noon mm/h,Transpiration rate at noon (mm/h),,mm/h,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TSR1n,Sur T sunlit nt,Surface temperature sunlit leaves midnight (°C),TSURF(1),°C,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TSR1t,Sur T sunlit nt,Surface temperature sunlit leaves midnight (°C),TSURF(1),°C,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TSR2n,Sur T sunlit nt,Surface temperature shaded leaves midnight (°C),TSURF(2),°C,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TSR2t,Sur T sunlit nt,Surface temperature shaded leaves midnight (°C),TSURF(2),°C,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TSR3n,Sur T sunlit nt,Surface temperature soil  midnight (°C),TSURF(3),°C,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TSR3t,Sur T sunlit nt,Surface temperature soil  midnight (°C),TSURF(3),°C,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
TWAD,TOTAL WT kg/ha,Tops+roots+storage wt (kg [dm]/ha),.,kg [dm]/ha,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
WDNN,Wind speed(noon),Wind speed at noon (m/s),WINDHR,m/s,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
WINn,Wind speed(noon),Wind speed at noon (m/s),WINDHR,m/s,*CARBON,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
CASM,ASSIM g CH2O,Cumulative assimilate reduction,.,,*PESTS,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
CEW,CEW #/row-m,Corn Earworm,.,,*PESTS,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
CLAI,DIS LAI m2/m2,Cumulative leaf area consumed,.,,*PESTS,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
CLFM,DIS LEAF kg/ha,Cumulative leaf mass consumed,.,,*PESTS,DATA.CDE,*Codes for Field and Simulated Data,DSSAT v4.7; 09/01/2017,,,
